Alistar	Annie	Bard	Blitzcrank	Brand	Braum	Janna	Karma	Leona	Lulu	Lux	Morgana	Nami	Nautilus	Sona	Soraka	TahmKench	Taric	Thresh	Velkoz	Zilean	Zyra
0.000000	5.975725	5.341164	5.563582	5.154296	4.368110	5.082992	4.894797	3.940609	6.370979	4.987145	4.796909	4.938261	3.827814	6.022946	4.651168	4.072037	6.255546	5.143358	4.911046	5.708033	5.666350
5.975725	0.000000	6.044448	5.194942	6.648280	5.930281	6.316666	5.352058	5.999919	6.141382	6.225078	6.788629	6.277899	6.665179	6.447930	5.438996	5.881330	6.741260	6.128482	5.629050	6.927542	4.147620
5.341164	6.044448	0.000000	5.174446	6.048667	5.158768	2.964360	5.129540	5.585633	4.815648	5.556037	4.379149	4.604171	5.290207	5.851820	5.096242	4.583961	5.108196	4.911783	5.315340	4.962530	5.145559
5.563582	5.194942	5.174446	0.000000	5.799928	5.398790	3.843014	4.090284	4.994076	5.526778	5.067645	5.638234	4.381108	3.874502	4.836707	4.531628	4.311459	5.539711	4.808124	5.705523	6.309534	5.069060
5.154296	6.648280	6.048667	5.799928	0.000000	4.366524	5.399531	6.022665	5.005049	4.902510	5.355922	5.491631	4.882245	4.642025	4.767379	4.333276	5.029691	4.723693	3.873721	3.777988	5.717804	5.663345
4.368110	5.930281	5.158768	5.398790	4.366524	0.000000	4.760498	5.834088	4.701877	5.755135	5.170900	5.697204	5.409900	4.776756	5.299417	4.834240	4.825632	5.843977	4.807258	4.822990	5.784026	6.121465
5.082992	6.316666	2.964360	3.843014	5.399531	4.760498	0.000000	4.072458	5.446013	5.335044	3.932003	3.969900	3.332245	4.053866	4.685670	4.100284	4.517515	5.405126	3.810818	4.962168	5.057586	5.620642
4.894797	5.352058	5.129540	4.090284	6.022665	5.834088	4.072458	0.000000	4.649905	6.068416	4.634421	4.517106	3.148007	4.789989	3.783995	4.372394	4.266858	6.190371	4.129057	4.830346	5.155937	5.298078
3.940609	5.999919	5.585633	4.994076	5.005049	4.701877	5.446013	4.649905	0.000000	5.271427	6.165586	4.670941	4.637502	4.267966	5.139054	5.504956	3.523804	4.876270	4.422038	4.583763	5.743295	5.704845
6.370979	6.141382	4.815648	5.526778	4.902510	5.755135	5.335044	6.068416	5.271427	0.000000	6.676894	4.404036	5.508721	6.067120	5.402892	5.954842	5.558155	4.639884	4.468983	4.962770	6.332269	4.674354
4.987145	6.225078	5.556037	5.067645	5.355922	5.170900	3.932003	4.634421	6.165586	6.676894	0.000000	5.311523	4.442721	5.142797	5.177579	4.817750	5.982835	6.662119	5.076278	4.727187	5.681082	5.764454
4.796909	6.788629	4.379149	5.638234	5.491631	5.697204	3.969900	4.517106	4.670941	4.404036	5.311523	0.000000	4.373894	5.107813	4.905100	5.040886	5.128635	5.522926	3.997123	4.414895	5.237276	6.184741
4.938261	6.277899	4.604171	4.381108	4.882245	5.409900	3.332245	3.148007	4.637502	5.508721	4.442721	4.373894	0.000000	3.900232	4.524202	4.461940	4.397076	6.087037	3.381676	4.610763	4.252795	5.475187
3.827814	6.665179	5.290207	3.874502	4.642025	4.776756	4.053866	4.789989	4.267966	6.067120	5.142797	5.107813	3.900232	0.000000	5.176346	4.300754	3.978477	5.647322	4.446132	5.321453	5.701964	6.013629
6.022946	6.447930	5.851820	4.836707	4.767379	5.299417	4.685670	3.783995	5.139054	5.402892	5.177579	4.905100	4.524202	5.176346	0.000000	4.557901	4.894640	4.977041	3.221451	4.895019	5.315738	5.832218
4.651168	5.438996	5.096242	4.531628	4.333276	4.834240	4.100284	4.372394	5.504956	5.954842	4.817750	5.040886	4.461940	4.300754	4.557901	0.000000	4.017581	5.727042	3.951532	4.044550	5.499928	5.516683
4.072037	5.881330	4.583961	4.311459	5.029691	4.825632	4.517515	4.266858	3.523804	5.558155	5.982835	5.128635	4.397076	3.978477	4.894640	4.017581	0.000000	5.227772	4.492135	5.386608	5.698503	5.220032
6.255546	6.741260	5.108196	5.539711	4.723693	5.843977	5.405126	6.190371	4.876270	4.639884	6.662119	5.522926	6.087037	5.647322	4.977041	5.727042	5.227772	0.000000	4.604454	5.069379	5.881762	5.603904
5.143358	6.128482	4.911783	4.808124	3.873721	4.807258	3.810818	4.129057	4.422038	4.468983	5.076278	3.997123	3.381676	4.446132	3.221451	3.951532	4.492135	4.604454	0.000000	3.706649	4.647048	5.341776
4.911046	5.629050	5.315340	5.705523	3.777988	4.822990	4.962168	4.830346	4.583763	4.962770	4.727187	4.414895	4.610763	5.321453	4.895019	4.044550	5.386608	5.069379	3.706649	0.000000	5.487555	5.476051
5.708033	6.927542	4.962530	6.309534	5.717804	5.784026	5.057586	5.155937	5.743295	6.332269	5.681082	5.237276	4.252795	5.701964	5.315738	5.499928	5.698503	5.881762	4.647048	5.487555	0.000000	5.775488
5.666350	4.147620	5.145559	5.069060	5.663345	6.121465	5.620642	5.298078	5.704845	4.674354	5.764454	6.184741	5.475187	6.013629	5.832218	5.516683	5.220032	5.603904	5.341776	5.476051	5.775488	0.000000
